1,1,0, 0001.000000,Central Govt,102,7504958,5838,.1,2669532,1,261680,3.6,298389,4.1,336539,4.7,270471,3.7,783579,11.7
3,2,0, 0395,Tata,26,2951523,4681,.2,1268811,2,55772,1.9,104846,3.7,314093,11.9,130347,4.6,-178201,-5.7
4,3,0, 0322,Reliance-Ambani,17,2277308,-95906,-4,1143309,3,-40150,-1.7,-48057,-2.1,168080,8,-61477,-2.6,382228,20.2
5,1, 0322, 0322.1,Reliance-Mukesh,13,2254758,-95811,-4.1,1129517,4,-40831,-1.8,-48736,-2.1,170339,8.2,-51774,-2.2,381782,20.4
10,7,0, 0007.000300,ICICI,4,1341191,31567,2.4,1100243,5,59247,4.6,158332,13.4,184781,16,118504,9.7,265023,24.6
2,1, 0001.000000, 0001.10,Finance-Ministry,31,3176888,18160,.6,1010841,6,108875,3.5,92954,3,309548,10.8,337570,11.9,578100,22.2
14,9,0, 0141,HDFC,4,1082202,-9918,-.9,892244,7,-14558,-1.3,-26652,-2.4,-12338,-1.1,-786369,-42.1,-440931,-28.9
9,6,0, 0595,Bharti-Mittal,3,1425562,-91.74,0,690423,8,5582,.4,6377,.4,145835,11.4,47588,3.5,328101,29.9
18,10,0, 0588,L&T,4,871060,-5544,-.6,663373,9,10512,1.2,4180,.5,90515,11.6,121891,16.3,121032,16.1
7,5,0, 0048,Bajaj,13,1443170,4256,.3,616760,10,7697,.5,-34867,-2.4,-15532,-1.1,16095,1.1,217106,17.7
8,2, 0048, 0048.1,Bajaj-Rahul,8,1427752,4399,.3,609579,11,7315,.5,-34828,-2.4,-14397,-1,20268,1.4,221654,18.4
11,8,0, 0064,Birla,45,1156870,5038,.4,591436,12,27027,2.4,65445,6,85804,8,125257,12.1,235092,25.5
12,3, 0064, 0064.2,Birla-GD,34,1125241,5281,.5,575260,13,26751,2.4,65832,6.2,85094,8.2,129960,13.1,242090,27.4
22,12,0, 0007.000110,Infosys,1,668305,1970,.3,572737,14,-5496,-.8,-2961,-.4,55528,9.1,-12706,-1.9,-136290,-16.9
15,1, 0064.2, 0064.23,Birla-BK,17,1078228,5934,.6,555553,15,27465,2.6,63399,6.2,90971,9.2,136202,14.5,243988,29.2
16,1, 0064.23, 0064.231,Aditya Birla,14,1075552,5968,.6,553921,16,27577,2.6,63328,6.3,90826,9.2,136084,14.5,251142,30.5
13,2, 0001.000000, 0001.19,Petroleum-Ministry,14,1113145,-3101,-.3,501955,17,20433,1.9,13515,1.2,19047,1.7,-773.23,-.1,68905,6.6
23,13,0, 0219,Mahindra,10,659903,-2540,-.4,483399,18,8455,1.3,12277,1.9,64750,10.9,81209,14,65688,11.1
6,4,0, 0477,Adani-Gautam,13,1496293,-10315,-.7,452459,19,21985,1.5,8521,.6,34228,2.3,99968,7.2,223582,17.6
17,3, 0001.000000, 0001.20,Power- Ministry,9,1017893,-5003,-.5,437114,20,59256,6.2,54225,5.6,-23349,-2.2,-42738,-4,-98120,-8.8
34,22,0, 1460,UTI,2,414824,1282,.3,382160,21,14057,3.5,2527,.6,22027,5.6,34030,8.9,69274,20
20,11,0, 0172,Jindal,22,773015,-4294,-.6,331105,22,33951,4.6,29258,3.9,1322,.2,68778,9.8,96574,14.3
21,4, 0172, 0172.3,OP-Jindal-Savitri,15,758908,-4251,-.6,326942,23,34181,4.7,29924,4.1,2217,.3,71840,10.5,100732,15.3
