1,INE835G01018,300,Interim 1,2026-08-08
2,INE242A01010,50,Interim 1,2025-12-18
3,INE510A01028,20,Interim 1,2025-12-04
4,INE039C01032,100,Interim 1,2025-11-19
5,INE490G01020,18,Interim 1,2025-11-14
6,INE139A01034,80,Interim 1,2025-11-14
7,INE020B01018,46,Interim 1,2025-10-27
8,INE463V01026,140,Interim 1,2025-10-18
9,INE045J01034,40,Interim 1,2025-10-03
10,INE935A01035,250,Interim 1,2025-10-03
11,INE0RUJ01013,5,Final,2025-09-22
12,INE636D01041,125,Final,2025-09-22
13,INE877E01015,150,Final,2025-09-22
14,INE994E01018,40,Final,2025-09-19
15,INE490G01020,16.1,Final,2025-09-19
16,INE337E01010,10,Final,2025-09-19
17,INE917H01012,30,Final,2025-09-19
18,INE325X01015,4.9,Final,2025-09-19
19,INE535F01024,15,Final,2025-09-19
20,INE825C01018,35,Final,2025-09-19
21,INE139A01034,50,Final,2025-09-19
22,INE683C01011,60,Final,2025-09-19
23,INE030C01015,10,Final,2025-09-19
24,INE298I01015,12,Final,2025-09-19
25,INE869I01013,20,Final,2025-09-19
26,INE681C01015,10,Final,2025-09-19
27,INE051G01012,15,Final,2025-09-19
28,INE570D01018,40,Final,2025-09-18
29,INE390H01020,25,Final,2025-09-18
30,INE908D01010,10,Final,2025-09-18
31,INE242Q01016,2.5,Final,2025-09-18
32,INE039C01032,110,Final,2025-09-18
33,INE131A01031,505,Final,2025-09-18
34,INE531E01026,29.2,Final,2025-09-18
35,INE803D01021,100,Final,2025-09-18
36,INE313G01016,15,Final,2025-09-18
37,INE320J01015,26.5,Final,2025-09-17
38,INE575C01027,75,Final,2025-09-17
39,INE309M01020,15,Final,2025-09-17
40,INE164A01016,85,Final,2025-09-16
41,INE576I01022,80,Final,2025-09-16
42,INE614B01018,50,Final,2025-09-16
43,INE802B01027,30,Final,2025-09-16
44,INE525F01025,430,Final,2025-09-16
45,INE213D01015,10,Final,2025-09-15
46,INE869A01010,100,Final,2025-09-15
47,INE634I01029,12.5,Final,2025-09-15
48,INE935A01035,250,Final,2025-09-15
49,INE419D01026,125,Final,2025-09-15
50,INE922A01025,100,Final,2025-09-12
51,INE718F01018,30,Final,2025-09-12
52,INE045J01034,20,Final,2025-09-12
53,INE989A01032,200,Final,2025-09-12
54,INE709A01018,15,Final,2025-09-12
55,INE953E01022,500,Final,2025-09-12
56,INE910A01012,110,Final,2025-09-11
57,INE451A01017,400,Final,2025-09-10
58,INE246F01010,50,Final,2025-09-10
59,INE149K01016,12.5,Final,2025-09-10
60,INE220Q01020,150,Final,2025-09-10
61,INE0A0S01028,5,Final,2025-09-10
62,INE065D01027,15,Final,2025-09-08
63,INE153T01027,100,Final,2025-09-08
64,INE586B01026,100,Final,2025-09-08
65,INE212H01026,800,Final,2025-09-04
66,INE374E01021,43,Final,2025-09-04
67,INE481Y01014,200,Final,2025-09-04
68,INE317I01021,50,Final,2025-09-04
69,INE342G01023,150,Final,2025-09-04
70,INE361D01012,350,Final,2025-09-04
71,INE454P01035,40,Final,2025-09-04
72,INE335A01020,60,Final,2025-09-04
73,INE568F01017,80,Final,2025-09-04
74,INE104E01014,30,Final,2025-09-04
75,INE213A01029,25,Final,2025-09-04
76,INE733E01010,35.5,Final,2025-09-04
77,INE349A01021,215,Final,2025-09-04
78,INE470Y01017,36,Final,2025-09-04
79,INE0UYT01018,10,Final,2025-09-04
80,INE227W01023,400,Final,2025-09-04
